full_date,state,commodity_name,variety,Highest_State_Price,Lowest_State_Price,Arbitrage_Spread_INR
2023-07-24,UNKNOWN,UNKNOWN,UNKNOWN,82000,2250,79750
2023-08-25,UNKNOWN,UNKNOWN,OTHER,58000,700,57300
2024-02-01,UNKNOWN,ONION,MEDIUM,58000,2800,55200
2025-03-19,UNKNOWN,ONION,OTHER,52040,1300,50740
2024-11-18,KERALA,UNKNOWN,OTHER,54040,3500,50540
2024-11-30,UNKNOWN,ONION,OTHER,55280,4800,50480
2024-04-12,KERALA,ONION,UNKNOWN,55280,5500,49780
2024-06-01,BIHAR,ONION,MEDIUM,52000,2900,49100
2024-11-21,NAN,UNKNOWN,OTHER,54040,5200,48840
2023-11-07,UNKNOWN,TOMATO,OTHER,54040,6000,48040
2024-11-14,KERALA,ONION,OTHER,54040,7200,46840
2025-03-20,UNKNOWN,ONION,OTHER,48040,1300,46740
2023-04-07,KERALA,TOMATO,OTHER,48040,1600,46440
2025-03-24,KERALA,ONION,OTHER,48040,2500,45540
2024-06-12,UNKNOWN,ONION,OTHER,46780,2200,44580
2025-06-02,KERALA,ONION,OTHER,48040,3500,44540
2025-02-13,KERALA,ONION,UNKNOWN,48040,3800,44240
2025-02-03,KERALA,ONION,UNKNOWN,48040,4400,43640
2025-09-03,KERALA,ONION,UNKNOWN,48040,5000,43040
2025-02-18,KERALA,UNKNOWN,OTHER,48040,5000,43040
2025-02-19,UNKNOWN,ONION,OTHER,44040,2000,42040
2025-03-21,KERALA,UNKNOWN,OTHER,44040,2700,41340
2025-07-03,KERALA,UNKNOWN,UNKNOWN,44040,3000,41040
2025-02-24,KERALA,ONION,OTHER,44040,3750,40290
2024-03-23,UNKNOWN,ONION,UNKNOWN,40340,1350,38990
2025-01-04,KERALA,ONION,OTHER,40040,2250,37790
2025-04-03,KERALA,UNKNOWN,OTHER,40040,3500,36540
2024-12-11,KERALA,UNKNOWN,OTHER,39040,3400,35640
2024-10-23,KERALA,POTATO,OTHER,39040,3600,35440
2025-02-26,KERALA,ONION,UNKNOWN,40040,4900,35140
2024-11-09,UNKNOWN,POTATO,UNKNOWN,35780,850,34930
2024-04-11,KERALA,POTATO,OTHER,36040,3250,32790
2024-10-24,KERALA,POTATO,OTHER,36040,3300,32740
2024-11-09,KERALA,POTATO,OTHER,35780,3200,32580
2024-09-13,KERALA,POTATO,OTHER,35780,3500,32280
2024-10-26,KERALA,ONION,OTHER,35780,4000,31780
2024-09-23,UNKNOWN,ONION,OTHER,34140,2950,31190
2024-06-07,KERALA,POTATO,OTHER,33840,4200,29640
2024-10-24,UNKNOWN,ONION,OTHER,33040,3500,29540
2024-10-17,UNKNOWN,ONION,OTHER,33040,3800,29240
2024-09-18,KERALA,ONION,OTHER,32540,3400,29140
2025-05-03,NAN,POTATO,OTHER,29280,700,28580
2024-10-10,KERALA,ONION,OTHER,33040,4600,28440
2024-09-19,KERALA,POTATO,OTHER,33040,5300,27740
2024-07-31,UNKNOWN,POTATO,OTHER,29280,1600,27680
2024-10-28,KERALA,ONION,OTHER,33040,5550,27490
2024-10-21,UNKNOWN,ONION,UNKNOWN,27540,100,27440
2024-06-22,UNKNOWN,POTATO,OTHER,29280,1850,27430
2024-08-30,UNKNOWN,ONION,OTHER,30280,2950,27330
2023-06-27,KERALA,TOMATO,OTHER,32040,5000,27040
2024-03-09,UNKNOWN,ONION,OTHER,27040,251,26789
2025-03-22,KERALA,POTATO,OTHER,29280,2500,26780
2024-09-20,KERALA,POTATO,OTHER,30280,3500,26780
2025-02-21,KERALA,POTATO,OTHER,29280,2500,26780
2025-03-15,UNKNOWN,POTATO,OTHER,27040,350,26690
2025-01-25,KERALA,POTATO,OTHER,29280,2600,26680
2024-08-10,UNKNOWN,ONION,OTHER,28640,2100,26540
2024-09-24,KERALA,ONION,OTHER,31040,4500,26540
2025-03-15,UNKNOWN,POTATO,UNKNOWN,27040,900,26140
2024-12-14,KERALA,POTATO,OTHER,29280,3500,25780
2024-09-29,KERALA,POTATO,UNKNOWN,30040,4300,25740
2024-07-12,KERALA,POTATO,OTHER,29280,3600,25680
2024-09-24,UNKNOWN,UNKNOWN,UNKNOWN,27540,2000,25540
2024-12-27,UNKNOWN,POTATO,OTHER,27040,1500,25540
2025-03-19,KERALA,POTATO,UNKNOWN,29280,3800,25480
2024-12-10,UNKNOWN,POTATO,OTHER,26040,600,25440
2024-07-15,KERALA,POTATO,OTHER,30040,4600,25440
2024-10-18,KERALA,ONION,OTHER,30280,4900,25380
2024-08-11,UNKNOWN,POTATO,OTHER,27040,2000,25040
2024-11-11,UNKNOWN,POTATO,OTHER,29280,4300,24980
2024-11-16,KERALA,UNKNOWN,OTHER,29280,4500,24780
2024-06-26,KERALA,UNKNOWN,OTHER,29280,4500,24780
2024-08-16,KERALA,ONION,OTHER,27640,2900,24740
2025-06-03,KERALA,POTATO,OTHER,27040,2300,24740
2024-08-14,KERALA,POTATO,OTHER,28640,4000,24640
2024-04-05,UNKNOWN,UNKNOWN,OTHER,26040,1400,24640
2024-08-20,NAN,UNKNOWN,OTHER,26440,1990,24450
2024-05-09,KERALA,ONION,OTHER,27040,2600,24440
2024-03-08,KERALA,POTATO,OTHER,29280,5000,24280
2025-09-03,KERALA,POTATO,OTHER,27040,2800,24240
2024-08-26,KERALA,POTATO,UNKNOWN,27640,3600,24040
2025-03-27,KERALA,POTATO,OTHER,27040,3000,24040
2025-01-20,KERALA,POTATO,OTHER,27040,3050,23990
2025-01-17,UNKNOWN,POTATO,UNKNOWN,24780,1000,23780
2024-10-17,KERALA,POTATO,OTHER,27040,3400,23640
2024-06-12,KERALA,POTATO,OTHER,27040,3500,23540
2025-01-13,KERALA,POTATO,OTHER,27040,3500,23540
2025-01-24,KERALA,POTATO,UNKNOWN,27040,3500,23540
2024-09-20,KERALA,ONION,UNKNOWN,27540,4000,23540
2025-02-02,KERALA,POTATO,OTHER,27040,3600,23440
2024-08-22,KERALA,UNKNOWN,OTHER,27040,4200,22840
2024-10-18,UNKNOWN,UNKNOWN,OTHER,24780,2000,22780
2024-07-17,NAN,ONION,OTHER,26040,3300,22740
2024-09-11,KERALA,POTATO,UNKNOWN,27040,4400,22640
2024-03-09,KERALA,POTATO,UNKNOWN,26440,3800,22640
2024-05-06,KERALA,POTATO,OTHER,26040,3600,22440
2025-01-30,KERALA,POTATO,OTHER,27040,4700,22340
2025-04-03,UNKNOWN,POTATO,OTHER,22540,500,22040
2024-07-27,KERALA,UNKNOWN,UNKNOWN,26040,4000,22040
2024-08-26,KERALA,ONION,OTHER,27040,5100,21940
